SESSION,hyena_count,lion_count,note_quality,food_present,session_error_notes,notes,entry_complete,who_checked,date_checked,entered_by,entry_date,who_starts_with_food,who_ends_with_food,do_hyenas_eat,no_intx_yes_no
s11279.2,2,9,3,TRUE,"ams,ypsi present; end time 7:45","lions seem like they are done with the carcass at the start of the session; carcass is just a tiny bit of flesh, some ribs, spine, head, and pelvis",TRUE,,,TMM,24-Feb-19,hyenas,lions,feed,FALSE
s11294,2,2,3,FALSE,,lcs so 150m from lion; wafl so 170m from lion,TRUE,,,JGJ,06-Oct-17,,,,TRUE
s11322,9,3,3,FALSE,,dsg pics lions;,TRUE,,,JGJ,06-Oct-17,,,,FALSE
s11340,20,3,2,TRUE,,"lcs,koal,spcd,wf,ink fat, bloody; tnsl fat; lpr bloody; observers seem arrive end interac; pretty fresh adult wildebeest carcass appears lions stole from hyenas; start - not much meat left, just skull, ribs, & small amount flesh; incomplete CI's 6:21-6:39",TRUE,TMM,26-Oct-17,JGJ,06-Oct-17,lions,lions,no,FALSE
s11777,15,5,1,TRUE,chg not present - che is present; no adult male lion present - lions should be 1 adult female and 4 subadult males,"incomplete CI's; at beginning -no hyenas closer than 20m; carcass=adult gnu; when lions leave - very little left - head,skin,some bones,few bits flesh; black back jackals also get scraps after lions leave",TRUE,,,JGJ,06-Oct-17,lions,hyenas,feed,FALSE
s12168,1,3,3,FALSE,,ista so 120m from 3 lionesses who are resting; ista then wanders away oos,TRUE,,,JGJ,09-Oct-17,,,,TRUE
s12196,14,2,2,FALSE,7 unid hyenas; missing snap,warthog escaped; incomplete CI's due to rocks; hyenas whoop; miss CI's between lions and hyenas; observer sees 14 hyenas 80 m from lions (7:06); end session hyenas so 60m from lions who are digging,TRUE,,,JGJ,09-Oct-17,,,,FALSE
s12205,16,3,1,TRUE,,"Very incomplete CI's; hwk,temp bloody; 2 carcasses - fresh juvenile eland (some meat eaten part legs, part ribs, some guts) & fresh juvenile warthog (most hind legs eaten, some guts gone); sktl, temp fresh puncture wounds; lion3 fresh wound - hyena bite?",TRUE,TMM,26-Oct-17,JGJ,09-Oct-17,lions,lions,feed,FALSE
s12223,11,3,2,FALSE,The predator that is unidentified sex is a side-striped jackal,lionesses 200m group hyena; apl 125m from lionnesses,TRUE,,,JGJ,10-Oct-17,,,,TRUE
s1257,13,1,3,FALSE,location should be 'o',"many hyenas are bloody; video of parts of this session on disc labeled serena videos-1, 2010 (entry and folder #5 - ""hyenas app lioness""); lioness so 40m - hyenas at end of session",TRUE,,,KJV,12-May-14,,,,FALSE
s13028,2,3,2,TRUE,predator with a category is a side-striped jackal,"zebra carcass - might still be fresh, meat and skin left; couldn't see carcass 6:35-6:45",TRUE,,,JGJ,10-Oct-17,lions,none,feed,FALSE
s13075,1,9,3,TRUE,,"lions walk to wildebeest carcass and start fdg. Fresh kill w/ some organs gone, all else there. Jazz 200m-lion (closest distance).",TRUE,,,JGJ,10-Oct-17,none,lions,no,TRUE
s13473,3,3,2,FALSE,,"3 vehicles; hyenas lope over quickly but no food present. Hyenas never approach within 100m of lions. Lions=Female28, Female29, & Female30",TRUE,,,JGJ,10-Oct-17,,,,TRUE
s13590,6,2,3,TRUE,lions are subadults,"Incomplete CI's 8:18-8:23; scraps from fresh zebra kill - most flesh gone, just some bloody bones and skin remain; 1 vehicle; lions and hyenas close proximity (10m closest) - neither seem to care",TRUE,,,JGJ,10-Oct-17,hyenas,hyenas,scraps,TRUE
s13640,25,9,2,TRUE,,"incomplete CI's; 5 tour cars; carcass probably killed last night (heard whoops & vocalizations) medium - zebra/topi, see ribcage & vertebrae; partial video; lions=Serena Pride, id shots some lions; ypsi boldest; angi,wafl,logc also bold; others so mostly",TRUE,TMM,26-Oct-17,JGJ,10-Oct-17,lions,lions,scraps,FALSE
s13641,1,7,3,FALSE,,drpy wan 200m-lions (who are so),TRUE,,,JGJ,11-Oct-17,,,,TRUE
s13642,14,1,3,TRUE,,"lion so about 100m from all hyenas who are sleeping in big ring around him; lion next to zebra carcass from this morning - flesh eaten except heads/legs (skin), spine & rib cage stripped flesh, no intestines; no tourist vehicles",TRUE,,,JGJ,11-Oct-17,lions,lions,no,TRUE
s13672,1,1,3,FALSE,,rama wlk - SW 200m - lion,TRUE,,,JGJ,11-Oct-17,,,,TRUE
s13674,1,1,3,FALSE,"lion is subadult, not juvenile",same lion as 6:55 (S13672); wafl wlk-SW; lion 300m-wfl,TRUE,,,JGJ,11-Oct-17,,,,TRUE
s13695,20,1,2,TRUE,1 unid,"incomplete CI's; dsg video of lion; adult topi carcass - begin pretty fresh, mostly eaten other than spine, ribs, head, & lower legs; toro fat",TRUE,,,JGJ,11-Oct-17,hyenas,hyenas,feed,FALSE
s13733,2,11,3,FALSE,sex unknown for 7 subadult lions (not all male for sure),lions same as at 8:14 (S13732),TRUE,,,JGJ,11-Oct-17,,,,TRUE
s13829,27,2,2,TRUE,bilj and ypsi present,"fat=crim,logc,wf,angi; 2 videotapes; fresh mostly eaten zebra carcass - just head & legs; suspect hyenas killed & lions stole (few fat); incomplete CI's",TRUE,TMM,26-Oct-17,JGJ,12-Oct-17,lions,hyenas,feed,FALSE
s13944,23,2,2,TRUE,only 2 unids,"incomplete CI's; carcass fresh - adult zebra, linos not look like killed it; hkr fat, bloody",TRUE,,,JGJ,13-Oct-17,lions,hyenas,feed,FALSE
s13964,7,11,2,TRUE,,other lions (beside lioness from 8:37-8:38 events) farther away - carcass and more lions under tree - 100m away; fair amount of meat on carcass (fresh zebra) 8:50; incomplete CI's,TRUE,,,JGJ,13-Oct-17,lions,lions,no,FALSE
s14315,16,6,2,FALSE,only 1 unidhyena (cstz?); 1 lion cub,incomplete CI's; ink bloody; closest get to lions is 5m; not sure when lions leave the scene/if they do - not mentioned after 6:55,TRUE,TMM,26-Oct-17,JGJ,13-Oct-17,,,,TRUE
s14471,2,1,3,FALSE,,kata st/lk 70m-lion; arro so 130m-lion,TRUE,,,JGJ,16-Oct-17,,,,TRUE
s14472,17,1,1,TRUE,1 unid (rama?); context should be c,nearby in bushes and trees is baby elephant carcass; many hyenas muddy and unidentifiable; incomplete CI's; observers couldn't get any CI's or keep track who leaving/going; most hyenas very fat,TRUE,,,JGJ,16-Oct-17,none,none,no,TRUE
s14535,1,7,3,FALSE,,cast st/lk 70m - lions,TRUE,,,JGJ,16-Oct-17,,,,TRUE
s14673,16,2,1,TRUE,only 13 unids,some hyenas very bloody so seems they made kill which lions ate without leaving much behind; unsure about food but there was probably food during an event at 7:12 but the observers never got close enough to see it,TRUE,,,JGJ,16-Oct-17,,,,FALSE
s15284,2,2,3,TRUE,lions should be subadults,male lions look full adult size but don't have full manes yet; veni carry pelvis,TRUE,,,JGJ,16-Oct-17,hyenas,hyenas,scraps,TRUE
s15479,6,4,2,TRUE,,zebra carcass; incomplete CI's,TRUE,,,JGJ,16-Oct-17,lions,lions,feed,FALSE
s15702,6,2,2,FALSE,end 6:40; context should not be k,"bloody-bilj,lcs,mrsb,antj,trni,wafl; observer notes that lions got w/in 200m of IAT den",TRUE,,,JGJ,16-Oct-17,,,,FALSE
s16008,1,5,3,FALSE,,ema so 200m-lions,TRUE,,,JGJ,17-Oct-17,,,,TRUE
s16012,26,13,2,TRUE,"2 lions are adult females, rest are unknown sex and age",incomplete CI's; topi - at least leg & spinal column left; towards end session - carcass is just a bit of skull and spinal cord,TRUE,,,JGJ,17-Oct-17,lions,hyenas,feed,FALSE
s16055,12,10,1,TRUE,al1040 is plop; 5 unids,"incomplete CI's; hwk, sprt bloody",TRUE,TMM,26-Oct-17,JGJ,17-Oct-17,lions,hyenas,scraps,FALSE
s1606,1,1,3,FALSE,,"lioness is stalking a zebra, FPR st/lk 100m - lioness - they do not try to app each other",TRUE,,,KJV,12-May-14,,,,TRUE
s16089,5,1,3,FALSE,,incomplete CI's; lioness at least 200m from hyenas,TRUE,,,JGJ,17-Oct-17,,,,TRUE
s16090,1,3,3,FALSE,,apl wlk - S; lionesses so in pile at least 200m away from apl,TRUE,,,JGJ,18-Oct-17,,,,TRUE
s16093,4,1,3,FALSE,,hyenas so 300-400m from lioness,TRUE,,,JGJ,20-Oct-17,,,,TRUE
s16097,6,10,3,FALSE,,call-in for a real lion experiment; closest hyenas gets is unid2 app 40m-lions,TRUE,,,JGJ,20-Oct-17,,,,FALSE
s16119,14,9,2,TRUE,7 unids,,TRUE,,,JGJ,20-Oct-17,lions,lions,feed,FALSE
s16215,25,7,2,TRUE,"predators without the category are side-striped jackals; chak,tula,plnk also here",extremely incomplete CI's - darkness and number of hyenas; topi carcass; video 6:29-6:33; not very much meat left at end on spine and head,TRUE,,,JGJ,20-Oct-17,lions,hyenas,feed,FALSE
s16244,1,11,3,FALSE,,snap wan 80m-lions; snap interested in them but never gets that close,TRUE,,,JGJ,20-Oct-17,,,,TRUE
s16267,12,7,2,TRUE,,"juvenile elephant carcass couple days old - most guts eaten but legs, spine, head etc. intact and lot of meat on it; incomplete CI's",TRUE,,,JGJ,20-Oct-17,lions,lions,no,FALSE
s16268,1,1,1,TRUE,lion is adult female,,TRUE,TMM,26-Oct-17,JGJ,20-Oct-17,lions,lions,scraps,FALSE
s16278,16,8,1,TRUE,,juvenile elephant carcass that has been dead for a few days; super incomplete CI's due to darkness and giant rock field; closest get to lions is 20m (ojy wan),TRUE,TMM,26-Oct-17,JGJ,23-Oct-17,lions,lions,no,TRUE
s16281,9,5,2,TRUE,3 unids,incomplete CI's; difficult to get good scan of area to include all hyenas; closest hyenas get is 30m (so),TRUE,,,JGJ,23-Oct-17,lions,lions,no,TRUE
s16282,3,5,2,TRUE,,elephant carcass from earlier session; still lot meat left,TRUE,,,JGJ,23-Oct-17,lions,lions,feed,TRUE
s16292,14,6,2,TRUE,,elephant carcass found few days ago; incomplete scans and CI's - all hyenas spread out in rock field,TRUE,,,JGJ,23-Oct-17,lions,lions,no,TRUE
s16318,4,8,3,TRUE,1 side-striped jackal,"silk and saw bloody; old-but-fresh gnu carcass - not just skin and bones (even most of bones have been eaten), looks like killed sometime in previous night; some poor visibility due to mist",TRUE,,,JGJ,23-Oct-17,lions,hyenas,feed,FALSE
s16338,16,5,1,FALSE,,incomplete CI's - many hyenas in rock field behind den where lions resting; lions resting 70m from den; closest hyenas get is pike and unid wan 15m-lions,TRUE,,,JGJ,23-Oct-17,,,,FALSE
s16358,15,5,3,TRUE,,adult buffalo carcass  - most flesh eaten but ribcage and skull intact,TRUE,,,JGJ,23-Oct-17,lions,lions,no,FALSE
s16360,14,5,2,TRUE,no unid; sgl also present,incomplete CI's; one hyena chews scrap but no carcass is present,TRUE,,,JGJ,24-Oct-17,,,scraps,TRUE
s16365,1,4,3,FALSE,,annr loping (no distance given from lions),TRUE,,,JGJ,24-Oct-17,,,,TRUE
s16411,1,6,3,FALSE,,gobe so 100m-lions,TRUE,,,JGJ,24-Oct-17,,,,TRUE
s1648,4,2,2,TRUE,,male hippo carcass; lions fd on carcass at start of session and hyenas stay 200m away from carcass - they do not try to interact with lion but realize the carcass is there,TRUE,,,KJV,12-May-14,lions,lions,no,TRUE
s16636,,,,FALSE,,"This session should be dropped from the analysis, since it doesn't contain any of our hyenas.",TRUE,,,JGJ,24-Oct-17,,,,TRUE
s16661,1,9,3,TRUE,end time is 18:00,ojy wlk arr - W and lv wlk; no distance given; almost entirely intact hippo carcass - lions managed to eat some of face but nothing else; same carcass as earlier session,TRUE,TMM,26-Oct-17,JGJ,25-Oct-17,lions,lions,no,TRUE
s16668,1,2,1,TRUE,,100m from hippo carcass (from earlier sessions); probably more lions there but couldn't see due to darkness; unid wan 100m - lions,TRUE,,,JGJ,25-Oct-17,none,none,no,TRUE
s16674,11,8,2,TRUE,temp also present; only one unid (unidtattyears),incomplete CI's due to tall grass; all hyenas either so or wan 50-200m from carcass and lions,TRUE,,,JGJ,25-Oct-17,lions,lions,no,TRUE
s16675,37,8,3,TRUE,end at 21:11; jackal is unid sex; al1040 is plop; silk and euch also present,hippo carcass (from earlier sessions); incomplete CI's due to tall grass and spread-out hyenas;,TRUE,,,JGJ,25-Oct-17,lions,hyenas,feed,FALSE
s16699,3,1,3,FALSE,,lioness so 130m - D,TRUE,,,JGJ,26-Oct-17,,,,TRUE
s17010,13,3,1,TRUE,bilj also present; only 1 unid (jett?),"incomplete CI's due to tall grass, darkness at beginning, and muddy hyenas",TRUE,,,JGJ,26-Oct-17,hyenas,hyenas,feed,TRUE
s17125,3,4,2,TRUE,,closest hyenas get to lions is 30m; 2 scraps - rmon has gnu leg with not much flesh left and ordg has an unidentifiable gnu scrap; observers couldn't completely see the lions so there could have been more; most likely a fresh kill but not intact,TRUE,,,JGJ,27-Oct-17,both,both,scraps,TRUE
s18014,1,1,1,TRUE,,"leopard kills baby zebra which lion steals; unid hyena loped past in darkness, saw leopard, and ran",TRUE,,,JGJ,27-Oct-17,none,lions,no,TRUE
s18134,4,3,1,TRUE,only 2 unids,observers see other eyeshine low in grass but can't tell what animal belongs to; tall grass and fog; 2 unid hyenas appeared to be following lionesses but then went opposite ways; only distance given between lions and hyenas is 100m; buffalo carcass,TRUE,,,JGJ,27-Oct-17,lions,lions,no,TRUE
s18282,16,5,1,TRUE,,hyenas on sides of muddy area with trees that observer cannot cross; observer can smell something dead but cannot see carcass; video recording after mobbing at 7:17,TRUE,,,JGJ,30-Oct-17,,,,FALSE
s18794,10,5,1,TRUE,only 3 jackals,carcass is a topi - mostly still intact but inside-out; video; incomplete CI's; had to wait to go off-road to id hyenas,TRUE,TMM,15-Nov-17,JGJ,30-Oct-17,lions,lions,scraps,FALSE
s18925,,,,FALSE,,session should not be included in analysis; unid hyenas - not sure if they are 17km clan hyenas or HZ hyenas,TRUE,,,JGJ,31-Oct-17,,,,FALSE
s18985,2,7,3,TRUE,,lions have pulled apart carcass and eating separate parts; all lions very bloody; clay 20m from lions and unid 60m,TRUE,,,JGJ,31-Oct-17,lions,lions,no,TRUE
s19097,5,7,3,FALSE,,"lions from previous session followed observers to den, observers decided to leave; lions st/lk 100m-D",TRUE,,,JGJ,31-Oct-17,,,,TRUE
s19339,1,4,3,FALSE,,"3 lionesses so, 1 standing and stare at pkey but never move towards; pkey ignores lions",TRUE,,,JGJ,31-Oct-17,,,,TRUE
s19478,23,3,1,TRUE,trex is an uncertain id and should be an unid,topi carcass; very incomplete CI's; wafl fat; video start 17:44;,TRUE,TMM,15-Nov-17,JGJ,31-Oct-17,lions,hyenas,feed,FALSE
s19535,11,1,1,TRUE,,very incomplete CI's 19:59-20:20 (trying to id hyenas and navigate rock field in dark); waterbuck kill; neither lions nor hyenas bloody; no hyena got closer than 25m; whatever interaction happened over by time arrived,TRUE,,,JGJ,06-Nov-17,lions,lions,no,TRUE
s19675,11,7,1,FALSE,2 black backed jackals; 7 unid hyenas,incomplete CI's; lions and hyenas on hill observers can't drive up (observers 300m away); observers not know if there is a carcass (lions inside bushes),TRUE,,,JGJ,07-Nov-17,,,,FALSE
s20360,12,2,2,TRUE,1 unid (chak?),all hyenas are bloody; young wildebeest carcass (intact) - no predator cause of death (maybe disease?); lions 300m from carcass,TRUE,,,JGJ,07-Nov-17,hyenas,hyenas,feed,TRUE
s20456.1,23,4,2,TRUE,no unids,"jlyr,csby,rmmy bloody; jazz fat; apl bloody and fat; video; incomplete CI's; observer not see any carcass and lions not bloody; fresh wildebeest carcass (1st mentioned at 7:38) w/ couple of legs missing",TRUE,TMM,03-Jan-18,JGJ,07-Nov-17,hyenas,hyenas,feed,FALSE
s20522,,,,FALSE,,Should not be included in the analysis; only hyena in the session is dead,TRUE,,,JGJ,09-Nov-17,,,,FALSE
s20536,17,1,2,TRUE,start time is 8:09,"tylr,onek,unidsouth1 bloody; freshly killed adult zebra mostly whole - end spine,neck,head,some skin left; S hyenas bloodier & seem to have made kill in N territory; N maybe encountered kill & got control w/ S calling reinforcs; clan war; N & S present",TRUE,TMM,03-Jan-18,JGJ,09-Nov-17,hyenas,hyenas,feed,FALSE
s2058,4,2,3,FALSE,one unID noted in session,lionesses are so in deep grass so it is hard to tell whether they are feeding or to get physical descriptions - hyenas lv at 7:03,TRUE,,,KJV,12-May-14,,,,FALSE
s20645,3,5,3,FALSE,,lions so 300m - soup; hyenas just orient towards lions,TRUE,,,JGJ,09-Nov-17,,,,TRUE
s20840,1,3,3,FALSE,,sktl so about 35m from 2 of lionesses,TRUE,,,JGJ,09-Nov-17,,,,TRUE
s20876,8,2,3,FALSE,end 6:55,videos labeled with date HZ and lions; incomplete CI's,TRUE,,,JGJ,09-Nov-17,,,,FALSE
s20903,9,4,3,TRUE,1 subadult lion is identified as male; nyc also present,"observer states ""treb is the only bloody hyena here, but based off of that it seems the hyenas made the kill and the lions stole it;"" carcass=collection of chunks (no skin left); described as docile lion hyena interaction",TRUE,,,JGJ,10-Nov-17,lions,hyenas,scraps,FALSE
s2098,15,1,1,TRUE,DIGS should be in unIDs,"buffalo kill with only a small part of the front end left; had to keep 200m distance bc of tourist vehicles viewing the session that the observers couldn't interfere with - incomplete CIs due to the tourists, number of animals and tall grass",TRUE,,,KJV,12-May-14,lions,hyenas,feed,FALSE
s2271,2,1,2,FALSE,,observers spooked hyenas upon arrival so they ran off and were not IDed; lioness and hyenas seemed to be staring at each other before the hyenas were spooked and ran off,TRUE,,,KJV,12-May-14,,,,TRUE
s2324,3,1,3,FALSE,,lion and hyenas never try to interact and the hyenas lv within a few minutes of arr,TRUE,,,KJV,12-May-14,,,,TRUE
s2548,5,4,3,FALSE,,observers were told there were cubs in this session that were feeding on a fresh topi carcass but they were unable to visually confirm this; lions and hyenas never interact and the distance they were apart from each other was not given,TRUE,,,KJV,12-May-14,,,,TRUE
s2794,5,5,3,FALSE,end time should be 18:50,"18:19 there is a call-in done using ""engh lions 1"" - the hyenas lope arr, another call-in is done at 18:25 and the hyenas become closer to one another greeting, the last call-in is done at 18:28 and 5 lionesses and an unID hyena lope arr - S",TRUE,,,KJV,12-May-14,,,,FALSE
s2798,6,2,3,FALSE,,hyenas only pass by lionesses and they do not come close to one another again,TRUE,,,KJV,12-May-14,,,,FALSE
s2864,1,5,3,TRUE,,observers assume the lions have been feeding on a hippo E of camp but they do not go near it during this session; AWP? Goes in and out of thickets not visibly interacting with the lions so at a nearby thicket - lions do not seem to notice her,TRUE,TMM,13-Jun-14,KJV,12-May-14,,,,TRUE
s2902,22,6,1,TRUE,,incomplete CIs due to the large group and their constant moving - tourist cars also make it hard to reposition for a better view; lions feeding on topi carcass at start of session; lions lv at 9:19 and hyenas begin feeding on carcass,TRUE,,,KJV,12-May-14,lions,hyenas,feed,TRUE
s3177,1,3,3,TRUE,,"hyena is bloody and feeding on fresh gnu carcass at start of session (carcass could have been hit by tourist car the night before or killed by hyena); parts of this session recorded on serena videos-1, 2010 (entry and folder #2 - ""LCS and lions"")",TRUE,,,KJV,12-May-14,hyenas,lions,feed,FALSE
s3179,6,3,3,TRUE,,"gnu kill from session 'S3177'; alarm rumbles from hyenas at 6:51, 7:05 and  7:10 cause the hyenasfding on the carcass to stop, but they resume fding shortly after each sound",TRUE,,,KJV,12-May-14,lions,hyenas,feed,FALSE
s3303,10,1,2,TRUE,,"a few hyenas are bloody,hyenas are fding on carcass at start of session - kill type unknown but appears to be a small, light-brown colored ungulate; GRIZ arrival whoop on marantz file#1119; lioness seen 250m - hyenas but does not try to app them",TRUE,,,KJV,12-May-14,hyenas,hyenas,feed,TRUE
s3460,1,5,3,FALSE,end time should be 17:56,"BBW so 40m - lions, they never try to app each other",TRUE,,,KJV,12-May-14,,,,TRUE
s3488,22,2,1,TRUE,unID hyenas should be 7,Clan war between the oz valley and south hyenas (video taken); lionesses appear in the lugga but hyenas aren't seen to interact with them; lionesses never seen again. Vocs during clan war weren't entered into intx form.,TRUE,TMM,13-Jun-14,KJV,12-May-14,hyenas,hyenas,scraps,FALSE
s3526,8,3,3,FALSE,BADG should be in IDs present,"1 lion was bloody; lionesses first seen at 6:54, they are so 20m - CLOV and hyenas begin lving a few minutes later",TRUE,,,KJV,12-May-14,,,,TRUE
s3620,13,2,1,TRUE,,"appears to be fresh topi carcass that lions are feeding on, hyenas are bloody; incomplete CIs due to large # of hyenas/darkness",TRUE,,,KJV,12-May-14,lions,lions,no,FALSE
s3672,5,6,2,TRUE,,"observers were unable to get closer due to tourists, carcass was never seen but they were told it was a small hippo; neither the hyenas nor the lions were noted as eating the carcass they just so near it",TRUE,,,KJV,12-May-14,,,no,FALSE
s3676,2,6,2,TRUE,,kill was the same as session 3672 - small hippo; hyenas and lions both near the kill but neither eats it and due to darkness the hyenas go oos; lions are so 40 - 70m from kill at end of session,TRUE,,,KJV,12-May-14,,,,TRUE
s3834,16,3,2,FALSE,CHG shoud be in IDs present,a few hyenas bloody; incomplete CIs due to amount of hyenas and chaos of the lions being so close to their den; lions still so near den at the end of session,TRUE,,,KJV,12-May-14,,,,FALSE
s3938,11,1,3,FALSE,,lion is 200m from hyena den - acting strange and does not try to app den,TRUE,,,KJV,12-May-14,,,,TRUE
s3985,1,8,3,FALSE,,"BING? St/lk at lions and goes oos in tall grass 5 minutes later, no food seen nearby - unsure why he was near the lions",TRUE,,,KJV,12-May-14,,,,FALSE
s4031,1,7,3,FALSE,,TRU so near lions - they do not try to app each other,TRUE,,,KJV,12-May-14,,,,TRUE
s4082,1,3,3,FALSE,,"SPDR so - lions and hyena do not try to app each other, SPDR lvs at 7:40",TRUE,,,KJV,12-May-14,,,,TRUE
s4564,7,1,3,FALSE,,"1 hyena bloody; lion 200m - hyenas, lion does not try to app hyenas and walk - NE oos of lugga at 7:42",TRUE,,,KJV,12-May-14,,,,TRUE
s4660,1,1,3,FALSE,lion sex should be male,lion is here first and CHG lope arr - N at 7:35 and lv lope - S at 7:37,TRUE,,,KJV,12-May-14,,,,TRUE
s4663,,3,2,FALSE,unIDsubadult should be in UNID HYENAS,3 lions (unknown sex/age) are so in tall grass causing the hyenas to become alert near their den; observers lv abruptly for a playback which is why the lion sex/age is unknown,TRUE,,,KJV,12-May-14,,,,TRUE
s4709,3,3,3,FALSE,,3 lionesses so - observers play RSTR_e stim followed by RBC_e stim and film the responses; lionesses were moving twds speakers but they move - NW when the hyenas lope arr - E,TRUE,,,KJV,12-May-14,,,,TRUE
s472,17,5,2,TRUE,,"carcass appears to be a young adult or adult buffalo; incomplete CIs in this session due to large amount of hyenas, their wide spread and darkness; hyenas do not try to steal carcass",TRUE,,,KJV,12-May-14,,,,TRUE
s485,14,13,3,TRUE,"CSBY should be in unIDs, never positively IDed in session",a few hyenas are bloody and feeding on carcass at session start; carcass is the spinal column of a large ungulate with little meat left on it - there are a few other bone scraps around; lions are 120m away and never app the carcass,TRUE,,,KJV,12-May-14,hyenas,hyenas,feed,TRUE
s4886,18,1,3,FALSE,"SUMA and JIGS should be counted as unID cubs, there should be 10 unID cubs total","hyenas are all oriented twd S and alarm rumbling periodically, a lion is first seen 320m S of the den; the lion later roars and the cubs go in the den and some of the hyenas orient twd the S; the hyenas scatter around the den but remain in sight",TRUE,,,KJV,13-May-14,,,,TRUE
s4944,1,3,3,FALSE,,"RH wlks within 25m of the lions, the lions put their heads up and watch her. RH continues to wan and does a circle around the lions coming as close as 15-20m - lions. The lions curiously watch her but do not seem otherwise bothered. RH lv wlk - SW",TRUE,,,KJV,12-May-14,,,,TRUE
s5188,5,6,3,FALSE,,hyenas are interacting with each other but not the lions - the lions do not seem bothered by their presence; it is noted that the hyenas and lions are relatively close to each other,TRUE,,,KJV,14-May-14,,,,TRUE
s5280,13,1,3,FALSE,"5 unID hyenas total, CZAR should be in IDs present","hyenas are around den, the lioness is first seen wlk 80m E - hatch D; lioness never app closer and at end of session scan lioness is wlk - SE 100m - hatch D",TRUE,,,KJV,14-May-14,,,,TRUE
s5434,9,9,3,TRUE,CHG should be in IDs present,"1 hyena bloody; video of hyenas aggressing lion on ""South lion encounter_16 oct2011(1-3); carcass was a freshly killed wildebeest head",TRUE,,,KJV,14-May-14,hyenas,hyenas,feed,FALSE
s545,9,2,3,FALSE,,"Lionesses so, no distances",TRUE,TMM,13-Jun-14,KJV,12-May-14,,,,TRUE
s5609,10,3,2,TRUE,,zebra carcass; no hyenas or lions listed as bloody; lions seen at start of session but 4 minutes later they are seen lving wlk - E; the hyenas feed on zebra carcass and the lions are not seen again,TRUE,,,KJV,14-May-14,hyenas,hyenas,feed,TRUE
s5751,3,5,3,TRUE,,CUSC/CHG were lving but lope back close to lions to watch as the lions chase one another; the hyenas flw the lions and when a lioness chases another lion CHG lopes alongside the lioness (very close to the action) and flws her away from this location - E,TRUE,,,KJV,13-May-14,,,scraps,TRUE
s5803,31,7,2,TRUE,"WHIZ,THY,JDS,RIPR should be in IDs present",video taken of the lion kill/hyenas taking over carcass (no tape# given); lions make the kill of 2 juvenile zebras;,TRUE,,,KJV,13-May-14,lions,hyenas,feed,FALSE
